Tag,z,μ,μ error
1993ag,0.050043,36.77300185,0.153148681
1993o,0.052926,36.82414233,0.148454215
1993h,0.02513,35.16781753,0.165420934
1993b,0.070086,37.56774016,0.15403068
1992bs,0.062668,37.55158046,0.145317136
1992br,0.087589,38.19156564,0.159495014
1992bp,0.078577,37.52127101,0.147429339
1992bo,0.017227,34.65466655,0.188025957
1992bl,0.042233,36.35865328,0.152312134
1992bh,0.045295,36.65661395,0.148758276
1992bc,0.019599,34.51823845,0.179081303
1992aq,0.100915,38.50881197,0.145279087
1992ag,0.027342,35.23005742,0.171939536
1992ae,0.074605,37.66636453,0.147931348
1992p,0.026489,35.51997008,0.182864911
1990af,0.049922,36.69996535,0.146530609
1990o,0.030604,35.54045316,0.16162459
2001cz,0.016345641,34.09245388,0.144775221
2001cn,0.0154363,34.0329851,0.150597549
2001ba,0.030529,35.58181499,0.092006705
2000ca,0.024525,34.95771743,0.109085696
2000bh,0.023953,34.93552048,0.115625212
1999gp,0.026038,35.35662373,0.106784897
1993ac,0.048948,36.63911202,0.176698211
1994m,0.024314,35.07949132,0.1864384
1994s,0.015166,34.20411149,0.22551808
1994t,0.03572,36.10505392,0.188094162
1995ac,0.048818,36.35073431,0.166961987
1995ak,0.021980006,34.88112358,0.196258768
1996c,0.0275,35.67358567,0.181507304
1996ab,0.1244,38.95216458,0.16801779
1996bl,0.036,35.82603427,0.17377857
1996bv,0.01673,34.15926876,0.209352704
1996bo,0.016321,34.11448054,0.209884301
2000fa,0.021793,34.90484998,0.282608881
2000dk,0.01645,34.18182983,0.292212076
2000cn,0.023208,35.1172802,0.276622196
2000cf,0.036457,36.1142751,0.26725065
1999gd,0.019264,35.15599536,0.285695464
1999ek,0.017605,34.39435479,0.30888275
1999cc,0.031528,35.73460616,0.270713039
1998eg,0.023536,35.18702874,0.278885119
1998ef,0.016743,33.88781217,0.292567467
1998dx,0.05371,36.45590445,0.268351165
1998co,0.016991,34.26779769,0.290910807
1998ab,0.027865,35.03401985,0.273008042
1998v,0.017173,34.18604102,0.293258906
1997dg,0.029955,35.95895149,0.27386648
1997y,0.016559,34.37640449,0.292368203
1999aa,0.015,34.09599528,0.145904477
1999ao,0.0544,36.96861387,0.077193461
1999ar,0.1561,39.29445504,0.059966386
1999aw,0.0393,36.305528,0.071749776
1999bi,0.1241,38.81001348,0.071597166
1999bm,0.1441,39.05282199,0.06344356
1999bn,0.1299,38.99561242,0.063182294
1999bp,0.0784,37.78100614,0.068115365
1996h,0.62,43.20662401,0.374321656
1996i,0.57,42.62994958,0.329397155
1996j,0.3,40.90685571,0.322661462
1996k,0.38,41.98144805,0.294675002
1996u,0.43,42.28653237,0.353944289
1995ao,0.24,40.92039446,0.604691512
1995ap,0.3,40.15245456,0.463180765
1996t,0.24,40.89415284,0.281508607
1997ce,0.44,42.01895412,0.290912412
1997cj,0.5,42.42511836,0.285032221
1997ck,0.97,43.08418656,0.74258217
1995k,0.479,42.25932581,0.305353356
1997ap,0.83,43.49348969,0.372098016
1997am,0.416,42.04220897,0.439612098
1997aj,0.581,41.98047886,0.422581724
1997ai,0.45,41.79652932,0.367900107
1997af,0.579,43.11027306,0.562403229
1997ac,0.32,41.18855051,0.339690792
1997r,0.657,43.0812936,0.549444461
1997p,0.472,42.09907179,0.469994746
1997o,0.374,43.115341,0.694417591
1997h,0.526,42.01330932,0.402473462
1997g,0.763,44.3657126,0.885466302
1997f,0.58,42.93987987,0.395142768
1996cn,0.43,41.88998031,0.393293335
1996cm,0.45,42.28251294,0.422650328
1996cl,0.828,44.20301818,0.611918161
1996ck,0.656,43.18155414,0.52870812
1996ci,0.495,42.12050135,0.398274094
1996cg,0.49,41.82171313,0.355251222
1996cf,0.57,42.74257454,0.395438891
1995ba,0.388,42.09697385,0.370734294
1995az,0.45,42.21281894,0.377256222
1995ay,0.48,42.1266259,0.403490418
